dataset,column,dtype,rows,non_null_count,missing_count,missing_pct,unique_count,constant_column
calendar,hour_group,object,43824,43824,0,0.0,4,False
calendar,weekday,int64,43824,43824,0,0.0,7,False
calendar,weekday_name,object,43824,43824,0,0.0,7,False
calendar,is_weekend,int64,43824,43824,0,0.0,2,False
calendar,is_workday,int64,43824,43824,0,0.0,2,False
calendar,is_monday,int64,43824,43824,0,0.0,2,False
calendar,is_friday,int64,43824,43824,0,0.0,2,False
calendar,season,object,43824,43824,0,0.0,4,False
calendar,is_business_hour,int64,43824,43824,0,0.0,2,False
calendar,is_peak_hour_window,int64,43824,43824,0,0.0,2,False
calendar,is_month_start,int64,43824,43824,0,0.0,2,False
calendar,is_month_end,int64,43824,43824,0,0.0,2,False
calendar,is_year_start,int64,43824,43824,0,0.0,2,False
calendar,is_year_end,int64,43824,43824,0,0.0,2,False
calendar,is_public_holiday,int64,43824,43824,0,0.0,2,False
calendar,holiday_name,object,43824,1176,42648,97.3165,13,False
calendar,is_day_before_holiday,int64,43824,43824,0,0.0,2,False
calendar,is_day_after_holiday,int64,43824,43824,0,0.0,2,False
calendar,days_to_holiday,int64,43824,43824,0,0.0,77,False
calendar,days_after_holiday,int64,43824,43824,0,0.0,77,False
calendar,is_long_weekend,int64,43824,43824,0,0.0,2,False
calendar,is_daylight_saving_time,int64,43824,43824,0,0.0,2,False
calendar,is_dst_transition_day,int64,43824,43824,0,0.0,2,False
calendar,is_spring_forward_day,int64,43824,43824,0,0.0,2,False
calendar,is_fall_back_day,int64,43824,43824,0,0.0,2,False
calendar,utc_offset_hours,int64,43824,43824,0,0.0,2,False
calendar,date_index,int64,43824,43824,0,0.0,1826,False
calendar,hour_sin,float64,43824,43824,0,0.0,20,False
calendar,hour_cos,float64,43824,43824,0,0.0,22,False
calendar,weekday_sin,float64,43824,43824,0,0.0,7,False
calendar,weekday_cos,float64,43824,43824,0,0.0,7,False
calendar,month_sin,float64,43824,43824,0,0.0,11,False
calendar,month_cos,float64,43824,43824,0,0.0,11,False
