fold,year,month_number,month_name,fsa,observations,mae,mape,mean_residual,actual_mean,predicted_mean
fold_2023,2023,8,Ago.,M5R,17856,516.5766432815577,7.164370662902193,-231.54528845254384,7163.340260976703,7394.885549429247
fold_2023,2023,9,Set.,M5R,17280,467.565577978627,5.843312303528707,153.75034328524407,6820.7644386574075,6667.014095372163
fold_2023,2023,10,Oct.,M5R,17856,287.54883476219726,4.376857989507649,-19.32952896585363,6441.30571796595,6460.635246931803
fold_2023,2023,11,Nov.,M5R,17280,313.10575711415265,4.190461649858544,17.975717112489185,7481.561892361111,7463.586175248622
fold_2023,2023,12,Dic.,M5R,17280,312.4893517522112,4.01539837689347,-28.261720445469926,7858.64152199074,7886.90324243621
fold_2023,2023,1,Ene.,M5S,17856,172.13214046895595,3.6887042725500594,82.25608128661966,4650.859951836917,4568.603870550298
fold_2023,2023,2,Feb.,M5S,16128,236.83978337822907,4.980213361411196,39.87882483977615,4679.443303571428,4639.564478731652
fold_2023,2023,3,Mar.,M5S,17856,202.2526167729298,4.632812156392626,2.751634975533414,4377.815955421147,4375.064320445613
fold_2023,2023,4,Abr.,M5S,17280,159.05541928347705,4.355963128686477,-33.27192096119998,3651.4397800925926,3684.7117010537927
fold_2023,2023,5,May.,M5S,17856,124.69731302455077,3.6944151470855653,-3.5499682147642457,3299.039096102151,3302.5890643169146
fold_2023,2023,6,Jun.,M5S,17280,193.03236527331754,5.009876048339602,-22.98558844247251,3728.96453125,3751.9501196924725
fold_2023,2023,7,Jul.,M5S,17856,283.601754821543,6.45782990797533,0.09734559627617313,4329.749176747312,4329.651831151035
fold_2023,2023,8,Ago.,M5S,17856,239.5501866772643,6.252242817331153,-81.99798102748346,3794.6927587365594,3876.6907397640425
fold_2023,2023,9,Set.,M5S,17280,238.04189089222015,5.886231800564867,40.372288168155194,3706.5295428240743,3666.1572546559187
fold_2023,2023,10,Oct.,M5S,17856,146.01197319407066,4.201848186326358,-35.27098023689041,3491.2449596774195,3526.51593991431
