fsa,hour,mean,median,maximum
M6G,15,13077.672015334065,12752.15,26820.5
M6G,16,13692.630777656079,13354.8,26743.399999999998
M6G,17,14354.810186199342,14108.45,27460.100000000002
M6G,18,14576.31265060241,14326.95,27119.9
M6G,19,14367.361993428258,14105.8,26609.0
M6G,20,13925.581161007667,13655.0,26015.399999999998
M6G,21,13100.298411829133,12863.899999999998,24579.0
M6G,22,11851.696166484118,11684.75,22800.3
M6G,23,10550.064841182913,10402.9,20900.7
M9R,0,4432.127053669223,4268.7,11042.3
M9R,1,4034.188116100767,3881.45,10459.3
M9R,2,3794.8822015334067,3643.0,9890.199999999999
M9R,3,3688.7368017524645,3551.45,9336.9
M9R,4,3721.9752464403064,3583.35,8987.2
M9R,5,3940.790799561884,3834.3500000000004,9097.0
M9R,6,4358.1174698795185,4259.65,9738.5
M9R,7,4758.15591456736,4582.45,10607.800000000001
M9R,8,5066.886308871851,4924.900000000001,11706.900000000001
M9R,9,5365.253395399781,5167.55,12518.0
M9R,10,5674.09008762322,5371.45,13309.600000000002
M9R,11,5959.390963855422,5610.849999999999,14035.9
M9R,12,6071.109200438116,5671.95,14539.699999999999
M9R,13,6099.06812705367,5624.200000000001,14873.7
M9R,14,6216.425027382256,5643.2,15177.000000000002
M9R,15,6544.609419496167,5890.450000000001,15715.399999999998
M9R,16,7028.9116100766705,6386.0,16084.7
M9R,17,7330.922617743701,6917.75,16243.6
M9R,18,7340.816100766703,6997.85,15998.099999999999
M9R,19,7254.325684556407,6927.950000000001,15985.4
M9R,20,7045.957447973713,6728.849999999999,15559.3
M9R,21,6513.757338444688,6270.5,14734.2
M9R,22,5749.226506024096,5560.549999999999,13284.300000000001
M9R,23,5018.508762322015,4847.25,11917.9
M9W,0,9833.698630887186,9805.75,22467.1
M9W,1,9124.555695509309,9156.7,21117.2
M9W,2,8684.086035049288,8820.95,19950.2
M9W,3,8526.644359255202,8735.25,19302.8
M9W,4,8711.894030668127,9060.5,19199.7
M9W,5,9173.042935377875,9708.7,19763.2
M9W,6,9982.177765607887,10709.5,21927.3
M9W,7,10946.265498357065,11683.5,24795.9
M9W,8,11884.349452354874,12750.2,27452.899999999998
M9W,9,12815.242935377875,13738.05,29556.6
M9W,10,13601.923658269443,14456.4,31054.5
M9W,11,14146.603340635267,14916.45,32288.399999999998
M9W,12,14363.482365826945,14979.0,32941.0
M9W,13,14380.137458926616,14899.05,33566.5
M9W,14,14427.625684556408,14851.199999999999,33712.2
M9W,15,14616.791511500549,14866.900000000001,33617.200000000004
M9W,16,14912.576396495071,14962.2,33203.0
M9W,17,15109.636473165388,14973.050000000001,32709.0
M9W,18,15093.810295728368,15044.45,32295.9
M9W,19,14922.241456736034,14914.300000000001,31603.4
M9W,20,14468.422343921138,14448.1,30996.5
M9W,21,13432.715662650602,13325.25,29075.8
M9W,22,12085.583242059145,11942.1,26280.8
M9W,23,10854.410186199342,10743.6,23847.699999999997
