month,hour,mean_consumption_kwh
11,15,8897.212444444445
11,16,9394.697777777777
11,17,10178.545
11,18,10374.756333333333
11,19,10232.120555555555
11,20,9906.479666666666
11,21,9360.376444444446
11,22,8564.543333333333
11,23,7684.1248888888895
12,0,8201.805483870967
12,1,7602.227849462366
12,2,7205.802150537635
12,3,6994.958709677419
12,4,6963.58688172043
12,5,7165.491397849462
12,6,7546.030000000001
12,7,8176.061075268817
12,8,8750.277849462365
12,9,9246.440752688173
12,10,9688.886344086022
12,11,10058.63946236559
12,12,10269.621182795698
12,13,10243.894086021506
12,14,10178.313763440861
12,15,10286.394086021506
12,16,10776.984301075268
12,17,11485.139139784947
12,18,11594.606989247312
12,19,11453.483010752687
12,20,11172.923978494624
12,21,10683.352150537634
12,22,9918.13182795699
12,23,9026.096344086021
