fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,15,0.7195121951219512,0.22585696885331477,0.3437955237716859,0.6075073269131045,52416,10.964209401709402,3.441697191697192,0.0688062811935696,0.5906887094301243,0.9262960886855853
fold_2023,16,0.7191256830601093,0.22894919972164232,0.3473211929268936,0.6089676143461216,52416,10.966117216117215,3.4913003663003663,0.06901542333148743,0.5850110114445038,0.923337770426959
fold_2023,17,0.7139737991266376,0.2274782608695652,0.34502769717752574,0.6081247645152694,52416,10.969932844932845,3.495115995115995,0.06790487231241427,0.5967591604231066,0.929718713372924
fold_2023,18,0.711864406779661,0.22635605006954104,0.34349030470914127,0.6075312737918424,52416,10.973748473748474,3.489392551892552,0.06886933272688618,0.5810694183833411,0.9234849432286256
fold_2023,19,0.7228443449048152,0.22436565867222802,0.34244031830238725,0.6068787274973587,52416,10.977564102564102,3.4073565323565322,0.06845674757350875,0.5860803554891474,0.9272902580739231
fold_2023,20,0.7267217630853995,0.22919200695047784,0.3484808454425363,0.6092810723764627,52416,10.979471916971917,3.4626831501831505,0.06714303348666548,0.5968374282065763,0.9270227327405457
fold_2023,21,0.7252346193952033,0.24166087560806115,0.36252280427417255,0.6151832024846993,52416,10.98137973137973,3.6591880341880345,0.06747051236110495,0.5860051521888064,0.9256135437942539
fold_2023,22,0.7155672823218997,0.23553934340802501,0.35441714584422374,0.6119937227981208,52416,10.983287545787546,3.615308302808303,0.06840715469422042,0.5722397206103248,0.9194128159140029
fold_2023,23,0.7125748502994012,0.24804585721730069,0.36799381522999614,0.6178504859930778,52416,10.983287545787546,3.8232600732600734,0.06782849238373234,0.5773824810142103,0.9216167531401525
fold_2023,24,0.6904296875,0.24561403508771928,0.36233183856502243,0.6160130442482468,52416,10.983287545787546,3.907203907203907,0.06860538344298055,0.5675049890151159,0.9179894673606823
fold_2024,1,0.7336561743341404,0.7190317987660181,0.7262703739213806,0.8540652819767101,52560,4.00875190258752,3.9288432267884326,0.016230264516071687,0.798166058238675,0.9887768878507471
fold_2024,2,0.7362052274927396,0.7218794494542002,0.7289719626168224,0.8555386583881313,52560,4.00875190258752,3.9307458143074583,0.01633596896654539,0.8008254205885925,0.9883572347582634
fold_2024,3,0.7142182333490789,0.717607973421927,0.7159090909090909,0.8528083075640347,52560,4.00875190258752,4.027777777777778,0.017101033285807064,0.7865177094970215,0.9868207236551696
fold_2024,4,0.6954732510288066,0.7218794494542002,0.7084303679552865,0.8543395225587453,52560,4.00875190258752,4.160958904109589,0.017953487158533288,0.7740160033757658,0.9863355371007866
fold_2024,5,0.6790739900136178,0.7100142382534409,0.694199535962877,0.8480005982062598,52560,4.00875190258752,4.191400304414003,0.01882520039216998,0.7563194742540301,0.9853184820420208
fold_2024,6,0.659158521036974,0.7361177028951116,0.6955156950672646,0.8601108602478253,52560,4.00875190258752,4.476788432267885,0.019979476440009997,0.7360846410435111,0.9844730472342975
fold_2024,7,0.6401028277634961,0.7090650213573801,0.6728214366133753,0.8462079313672517,52560,4.00875190258752,4.440639269406392,0.020944728366963573,0.7136907767026083,0.9825253963212892
fold_2024,8,0.6137410976120653,0.6953013763644993,0.6519804183355585,0.8385134713665994,52560,4.00875190258752,4.5414764079147645,0.02214037680263059,0.6848933690026254,0.9810216590043518
fold_2024,9,0.5972278842233999,0.6953013763644993,0.6425438596491229,0.8378593972778436,52560,4.00875190258752,4.667047184170472,0.023009648123366748,0.6666997291370523,0.9798493282563816
fold_2024,10,0.5853061224489796,0.6805885144755577,0.6293614219881501,0.8302254803563248,52560,4.00875190258752,4.661339421613394,0.023637869154715694,0.6491915482305646,0.9786754547699127
fold_2024,11,0.5732251521298174,0.6706217370669197,0.6181102362204725,0.8248853239672299,52560,4.00875190258752,4.689878234398782,0.024388761548055343,0.6290009480137224,0.9777912210296404
fold_2024,12,0.5646286417726714,0.6530612244897959,0.6056338028169014,0.816015875757474,52560,4.00875190258752,4.636605783866058,0.024695437806274614,0.6138224273799631,0.9770229842919776
fold_2024,13,0.5560519902518278,0.6497389653535833,0.599255854672795,0.8140376193584558,52560,4.00875190258752,4.684170471841704,0.025110935197041728,0.6101985510645745,0.9758774539219521
fold_2024,14,0.5631343889565571,0.65828191741813,0.6070021881838075,0.8184775690196511,52560,4.00875190258752,4.686073059360731,0.025006450481264406,0.6123146248724662,0.9759993067459976
fold_2024,15,0.5646067415730337,0.6677740863787376,0.6118721461187214,0.8231344615787609,52560,4.00875190258752,4.74124809741248,0.024801092249788454,0.6206001140877457,0.9764433426323151
fold_2024,16,0.5624755189972581,0.6815377313716184,0.6163090128755365,0.8296991572442893,52560,4.00875190258752,4.857305936073059,0.024661495291819678,0.634107810202258,0.9768890435473783
fold_2024,17,0.5704563650920736,0.6759962049335864,0.6187581415544942,0.8273642326499375,52560,4.010654490106545,4.7526636225266365,0.024535141136126634,0.6374374043332477,0.9766529266136217
fold_2024,18,0.5732534930139721,0.681214421252372,0.622588337307609,0.8300129824489086,52560,4.010654490106545,4.7659817351598175,0.0244816375696387,0.6417454231739321,0.9767741739908419
fold_2024,19,0.5757332261952591,0.6797912713472486,0.6234500761366109,0.829430242824976,52560,4.010654490106545,4.735540334855403,0.02457679793888104,0.6329693142821997,0.9768895541045194
fold_2024,20,0.569297212406753,0.6878557874762808,0.6229860365198711,0.8330561740838155,52560,4.010654490106545,4.845890410958904,0.024792232684334004,0.6275408217690553,0.977275345487796
