fsa,forecast_origin,horizon,target_timestamp,target_hour,target_weekday,target_month,target_is_weekend,target_hour_sin,target_hour_cos,target_weekday_sin,target_weekday_cos,target_month_sin,target_month_cos,target_season,target_lag_24h,target_lag_48h,target_lag_168h,origin_rolling_mean_24h,origin_rolling_std_24h,origin_rolling_mean_168h,_rf_origin_rolling_mean_24h,_rf_origin_rolling_std_24h,_rf_origin_rolling_mean_168h,origin__Temp (°C),origin__Rel Hum (%),origin__Stn Press (kPa),origin__reported_premise_count
M5R,2026-04-30 23:00:00,10,2026-05-01 09:00:00,9,4,5,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9478.38006,9321.757719,9861.72158,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,11,2026-05-01 10:00:00,10,4,5,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9592.588245,9658.813355,10042.476933,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,12,2026-05-01 11:00:00,11,4,5,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9829.792135,9639.408364,10210.526398,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,13,2026-05-01 12:00:00,12,4,5,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9799.386239,9639.077062,10263.22342,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,14,2026-05-01 13:00:00,13,4,5,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9562.168749,9502.760725,9957.207432,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,15,2026-05-01 14:00:00,14,4,5,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9403.208367,9516.410408,9739.760864,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,16,2026-05-01 15:00:00,15,4,5,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9489.650794,9691.555274,9749.538731,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,17,2026-05-01 16:00:00,16,4,5,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9713.846851,9974.342332,9926.961281,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,18,2026-05-01 17:00:00,17,4,5,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9944.1572,10134.581404,10062.309332,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,19,2026-05-01 18:00:00,18,4,5,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9931.729524,10364.628608,10067.928566,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
