fold,year,month_number,month_name,fsa,observations,mae,mape,mean_residual,actual_mean,predicted_mean
fold_2023,2023,11,Nov,M6G,17280,477.24098854970373,4.21184504297876,46.30789014690169,11394.313709490742,11348.00581934384
fold_2023,2023,12,Dec,M6G,17280,448.1920274581396,3.753614113333538,83.36006235528025,12048.061689814815,11964.701627459533
fold_2023,2023,1,Jan,M9R,17856,335.4462041528032,5.844794816899304,192.5003985452087,5687.111883960573,5494.611485415365
fold_2023,2023,2,Feb,M9R,16128,354.4156110358899,6.240608903614059,164.24379181101506,5632.706708829365,5468.46291701835
fold_2023,2023,3,Mar,M9R,17856,323.00063333023144,5.979048166632652,94.91793760636288,5367.160915098566,5272.242977492203
fold_2023,2023,4,Apr,M9R,17280,318.086836153303,6.5721106944733005,-54.7381234062326,4841.845688657408,4896.58381206364
fold_2023,2023,5,May,M9R,17856,370.5084080352095,7.541292759324909,-65.76777046184034,4708.6429323476705,4774.41070280951
fold_2023,2023,6,Jun,M9R,17280,541.7271475442739,8.669701267571137,37.24449102319853,5786.732152777778,5749.487661754579
fold_2023,2023,7,Jul,M9R,17856,760.4723348949493,9.93401850887017,255.68350676570896,7232.805813172043,6977.122306406334
fold_2023,2023,8,Aug,M9R,17856,576.5013600906525,8.969850958846385,77.35028779607933,6067.386833557348,5990.036545761269
fold_2023,2023,9,Sep,M9R,17280,504.099384052136,8.309854219336737,24.153061226593575,5543.8442187499995,5519.691157523406
fold_2023,2023,10,Oct,M9R,17856,338.7399077652254,6.922044635415742,-72.40706484423072,4832.905835573476,4905.312900417707
fold_2023,2023,11,Nov,M9R,17280,301.35047843184935,5.785549913404361,50.7528415999837,5177.180827546296,5126.427985946312
fold_2023,2023,12,Dec,M9R,17280,331.0390931651314,5.755990603724727,171.83880639416802,5623.557274305555,5451.718467911387
fold_2023,2023,1,Jan,M9W,17856,1338.301492521135,9.030292484876323,1306.4480614819759,14738.861598342293,13432.413536860318
fold_2023,2023,2,Feb,M9W,16128,1299.800697712086,8.620085959308646,1256.8469603839692,14916.540959821428,13659.69399943746
fold_2023,2023,3,Mar,M9W,17856,1177.0375773859782,8.142577899765957,1120.0055191541182,14345.509050179211,13225.503531025093
fold_2023,2023,4,Apr,M9W,17280,918.2704733622908,6.946156179471392,828.3026098925416,13025.58657986111,12197.28396996857
fold_2023,2023,5,May,M9W,17856,918.0766830812936,6.7164565590529435,812.6630186687598,12669.597664650539,11856.934645981779
fold_2023,2023,6,Jun,M9W,17280,1266.6210103851781,8.103027564515836,992.9275747543332,14427.74113425926,13434.813559504926
fold_2023,2023,7,Jul,M9W,17856,1920.3966060115586,10.532187886026575,1434.6840369960491,16919.120934139784,15484.436897143734
fold_2023,2023,8,Aug,M9W,17856,1450.9525936959647,9.066661166238474,1086.8582322811244,14915.90358422939,13829.045351948265
fold_2023,2023,9,Sep,M9W,17280,1194.0426562546422,7.673143977161328,934.181669883526,13939.556666666665,13005.37499678314
fold_2023,2023,10,Oct,M9W,17856,885.7183644956287,6.629302784673746,766.9828103863538,12769.972961469533,12002.99015108318
fold_2023,2023,11,Nov,M9W,17280,1082.670686436425,7.6829069096282785,1035.5605968369907,13886.059033564814,12850.498436727823
fold_2023,2023,12,Dec,M9W,17280,1227.9557139563144,8.35223950862952,1196.1539207544283,14573.019403935186,13376.865483180756
fold_2024,2024,1,Jan,L4T,17856,580.916816231594,4.7511253613654505,290.998498938563,11903.503533826164,11612.505034887603
fold_2024,2024,2,Feb,L4T,16704,616.507426234384,5.362456068078847,156.9631455026925,11294.351197318008,11137.388051815315
fold_2024,2024,3,Mar,L4T,17856,578.8479471988364,5.32294403257373,-29.384482964917922,10747.102805779568,10776.487288744487
fold_2024,2024,4,Apr,L4T,17280,603.966988700897,6.097768216771277,-293.07135974385886,9947.964490740742,10241.0358504846
fold_2024,2024,5,May,L4T,17856,733.7428956042351,7.397817663302348,-314.39038062948856,10000.97489359319,10315.365274222679
fold_2024,2024,6,Jun,L4T,17280,1226.4143320782223,9.584118675575409,122.9145793508651,12730.902118055556,12607.98753870469
fold_2024,2024,7,Jul,L4T,17856,1426.5731946568853,8.712651535198736,824.0987807477907,15710.923101478493,14886.824320730702
fold_2024,2024,8,Aug,L4T,17856,1298.200541236505,9.228834852140201,306.3786684688294,13946.555639560931,13640.176971092102
fold_2024,2024,9,Sep,L4T,17280,796.870661895007,6.800339166047153,-90.09059848772851,11630.734074074075,11720.824672561803
fold_2024,2024,10,Oct,L4T,17856,580.8152840255776,6.07550836271096,-373.60844988935867,9604.162880824373,9977.771330713731
fold_2024,2024,11,Nov,L4T,17280,528.3879632466868,5.042117806063811,-69.27890292182363,10322.592488425926,10391.87139134775
fold_2024,2024,12,Dec,L4T,17280,575.7615683642551,4.829166544027077,198.9649538252407,11658.400439814814,11459.435485989574
fold_2024,2024,1,Jan,M5R,17856,377.2545279659939,4.125130944660685,92.31886136466846,9061.850907258065,8969.532045893397
fold_2024,2024,2,Feb,M5R,16704,413.8733060853335,5.169369743075492,6.507572174900222,8119.969001436781,8113.461429261881
fold_2024,2024,3,Mar,M5R,17856,399.1849610015388,5.445717140824213,-83.41172524600614,7359.586855958782,7442.998581204788
