threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.34,0.9772284561990727,0.33049101840855105,0.4939365574622985,0.6611724093299036,35619,830,72157,101058,66.95089815914488,0.8146199748743718,17.384481837606838,51.4041514041514,209664
0.35,0.9776759683465223,0.32670538895486934,0.48975248798603527,0.6594071856834648,35211,804,72565,101084,67.32946110451307,0.7891017587939699,17.177483974358974,51.4041514041514,209664
0.36,0.9781788489694786,0.32234449228028506,0.4848979705775619,0.6573690504743134,34741,775,73035,101113,67.76555077197149,0.7606391331658292,16.939484126984127,51.4041514041514,209664
0.37,0.9785922246960096,0.318104216152019,0.480134444366641,0.6553715961413361,34284,750,73492,101138,68.1895783847981,0.7361023869346733,16.70959249084249,51.4041514041514,209664
0.38,0.9792474674384949,0.31391961104513066,0.47542964742914157,0.6534412361130175,33833,717,73943,101171,68.60803889548693,0.7037138819095478,16.478746947496948,51.4041514041514,209664
0.39,0.9795882456449059,0.3099205760095012,0.47086851713492256,0.6515447729293737,33402,696,74374,101192,69.00794239904988,0.6831030150753769,16.26316391941392,51.4041514041514,209664
0.4,0.980034464317547,0.3060607185273159,0.4664507826972298,0.6497326205701907,32986,672,74790,101216,69.39392814726841,0.6595477386934673,16.053304334554337,51.4041514041514,209664
0.41,0.9804322957432717,0.3021823040380047,0.4619771054087408,0.6479013750089522,32568,650,75208,101238,69.78176959619952,0.6379554020100503,15.843444749694749,51.4041514041514,209664
0.42,0.9807065134566735,0.29854513064133015,0.4577444250809119,0.6461662132478008,32176,633,75600,101255,70.14548693586698,0.6212704145728642,15.648370726495727,51.4041514041514,209664
0.43,0.981030647553139,0.29462960213776723,0.45316246146820416,0.6443016886316977,31754,614,76022,101274,70.53703978622327,0.6026224874371859,15.43803418803419,51.4041514041514,209664
0.44,0.9812908675656228,0.29102026425178146,0.44890832194305097,0.6425755372766445,31365,598,76411,101290,70.89797357482185,0.5869189698492462,15.24486797924298,51.4041514041514,209664
