fold,threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
fold_2023,0.67,0.7881244571148578,0.25652996570997744,0.3870706628746445,0.6240182708983941,35386,9513,102555,1110530,74.34700342900226,0.8493423913189047,3.5691232956857957,10.9652428011803,1257984
fold_2023,0.68,0.7905231804642914,0.25204978940271566,0.3822297468145689,0.6219121061744888,34768,9213,103173,1110830,74.79502105972844,0.8225577053738116,3.4961493945868947,10.9652428011803,1257984
fold_2023,0.69,0.7935958760971532,0.2477653489535381,0.37763180429486154,0.6199145232540035,34177,8889,103764,1111154,75.2234651046462,0.7936302445531109,3.42341397028897,10.9652428011803,1257984
fold_2023,0.7,0.7969463470319634,0.24292994831123452,0.37235608842762613,0.6176535133456306,33510,8538,104431,1111505,75.70700516887655,0.762292161997352,3.3424908424908426,10.9652428011803,1257984
fold_2023,0.71,0.8001069596713422,0.23860926048093026,0.36759400931437697,0.6156337890316901,32914,8223,105027,1111820,76.13907395190698,0.7341682417550041,3.270073387260887,10.9652428011803,1257984
fold_2023,0.72,0.8035127055306428,0.23381735669597872,0.36222842414406925,0.6133878313805069,32253,7887,105688,1112156,76.61826433040213,0.7041693934964997,3.1908195970695967,10.9652428011803,1257984
fold_2023,0.73,0.8071340964840557,0.2289964550061258,0.35677134805762467,0.6111287140111702,31588,7548,106353,1112495,77.10035449938742,0.6739026983785444,3.1110093610093608,10.9652428011803,1257984
fold_2023,0.74,0.8109361490292661,0.2243785386505825,0.3515002157766825,0.6089679644289614,30951,7216,106990,1112827,77.56214613494174,0.6442609792659746,3.033981354293854,10.9652428011803,1257984
fold_2023,0.75,0.8150970834567636,0.21941989691244806,0.34576236334350047,0.6066448875612406,30267,6866,107674,1113177,78.05801030875519,0.6130121789966992,2.95178635022385,10.9652428011803,1257984
fold_2023,0.76,0.8187228388739723,0.21442500779318693,0.3398441988188524,0.6042889554256865,29578,6549,108363,1113494,78.55749922068131,0.5847096941813841,2.8718171296296298,10.9652428011803,1257984
fold_2023,0.77,0.8235579253514299,0.20938662181657375,0.33388435484243867,0.6019309169644829,28883,6188,109058,1113855,79.06133781834262,0.5524787887607886,2.7878732956857957,10.9652428011803,1257984
fold_2023,0.78,0.8271434447905036,0.20408000521962288,0.3273847943014973,0.599413764152895,28151,5883,109790,1114160,79.5919994780377,0.5252476913832772,2.705439814814815,10.9652428011803,1257984
fold_2023,0.79,0.8307561700321388,0.1986356485743905,0.3206122054960421,0.5968259556714367,27400,5582,110541,1114461,80.13643514256094,0.4983737231517005,2.62181394993895,10.9652428011803,1257984
fold_2023,0.8,0.8346742635319162,0.1932855351200876,0.31388476843022295,0.5942852687854432,26662,5281,111279,1114762,80.67144648799123,0.4714997549201236,2.5392214845339844,10.9652428011803,1257984
fold_2023,0.81,0.8396483487964705,0.18763819314054558,0.306730581215522,0.5916124848598295,25883,4943,112058,1115100,81.23618068594544,0.4413223420886519,2.450428622303622,10.9652428011803,1257984
fold_2023,0.82,0.8439537541170935,0.18204159749458101,0.2994841825933987,0.5889481104665727,25111,4643,112830,1115400,81.7958402505419,0.41453765614355875,2.365212912087912,10.9652428011803,1257984
fold_2023,0.83,0.8489734531845685,0.17596653641774382,0.2915115413253909,0.58605566364369,24273,4318,113668,1115725,82.40334635822562,0.3855209130363745,2.2727634055759056,10.9652428011803,1257984
fold_2023,0.84,0.8539165967382977,0.16967399105414635,0.28309646205019656,0.5830495641516706,23405,4004,114536,1116039,83.03260089458536,0.3574862750805103,2.178803545991046,10.9652428011803,1257984
fold_2023,0.85,0.8582827472988966,0.16297547502192966,0.27393471188175517,0.5798306582738284,22481,3712,115460,1116331,83.70245249780703,0.3314158474272863,2.082140949328449,10.9652428011803,1257984
fold_2023,0.86,0.8632341754414061,0.15630595689461435,0.26468530180827166,0.5766280369941665,21561,3416,116380,1116627,84.36940431053857,0.3049882906281277,1.9854783526658526,10.9652428011803,1257984
fold_2023,0.87,0.8698719844522371,0.14925946600358125,0.2547985891962131,0.5732547857899425,20589,3080,117352,1116963,85.07405339964188,0.2749894423696233,1.8815024674399674,10.9652428011803,1257984
fold_2023,0.88,0.8764806173725772,0.14161851806207001,0.24383850613808986,0.5695802883575877,19535,2753,118406,1117290,85.83814819379299,0.24579413468947173,1.7717236467236466,10.9652428011803,1257984
fold_2023,0.89,0.8830733901062099,0.1338108321673759,0.2324055828711369,0.5658143865428579,18458,2444,119483,1117599,86.6189167832624,0.21820590816602575,1.6615473646723646,10.9652428011803,1257984
fold_2023,0.9,0.8885291396854764,0.12533619445995026,0.21968373369589386,0.5616998308330601,17289,2169,120652,1117874,87.46638055400497,0.19365327938302368,1.5467605311355312,10.9652428011803,1257984
fold_2024,0.02,0.19463264853421336,0.9888682378993989,0.3252486692658119,0.9089794353518719,50013,206948,563,1003916,1.1131762100601077,17.090936719565534,20.370449644850332,4.0093860984271945,1261440
fold_2024,0.03,0.21518117882877436,0.9848742486554888,0.35319435581082037,0.9174192032399922,49811,181673,765,1029191,1.512575134451123,15.003584217550445,18.350773718924405,4.0093860984271945,1261440
fold_2024,0.04,0.23136547532486904,0.9814734261309712,0.3744587438330743,0.922641121818244,49639,164909,937,1045955,1.8526573869028788,13.619118249448329,17.008181126331813,4.0093860984271945,1261440
fold_2024,0.05,0.24479406307977736,0.9783098702942107,0.3916011412697219,0.9261230835105879,49479,152646,1097,1058218,2.169012970578931,12.606370327303479,16.023354261796044,4.0093860984271945,1261440
fold_2024,0.06,0.2565577650283741,0.9752451755773489,0.4062447236532704,0.9286031603385232,49324,142929,1252,1067935,2.475482442265106,11.80388549003026,15.240756595636732,4.0093860984271945,1261440
fold_2024,0.07,0.26726692438601357,0.9719234419487504,0.4192463016584434,0.9303134400774289,49156,134765,1420,1076099,2.8076558051249605,11.129656179389261,14.580241628614916,4.0093860984271945,1261440
fold_2024,0.08,0.27693863827719295,0.9690169250237267,0.4307669319645078,0.9316709844796484,49009,127958,1567,1082906,3.0983074976273333,10.567495606443003,14.028966894977168,4.0093860984271945,1261440
fold_2024,0.09,0.28592824881233764,0.9663081303385005,0.4412821670428894,0.932755341613178,48872,122052,1704,1088812,3.369186966149953,10.079744711214472,13.549911212582447,4.0093860984271945,1261440
fold_2024,0.1,0.29420532998599913,0.9639156912369503,0.45081375994081746,0.9336646434091436,48751,116953,1825,1093911,3.6084308763049666,9.658640441866304,13.136098427194318,4.0093860984271945,1261440
fold_2024,0.11,0.30199670838120674,0.9614441632394812,0.45962257373895865,0.9343134841224163,48626,112389,1950,1098475,3.8555836760518822,9.281719499464845,12.764380390664638,4.0093860984271945,1261440
fold_2024,0.12,0.30929406437541057,0.958893546346093,0.46772272453285113,0.9347258135937708,48497,108302,2079,1102562,4.110645365390699,8.944191915855125,12.430159183155759,4.0093860984271945,1261440
fold_2024,0.13,0.3162383101170623,0.9561056627649478,0.47527594035953336,0.9348795270312007,48356,104554,2220,1106310,4.38943372350522,8.634660870254628,12.121860730593607,4.0093860984271945,1261440
fold_2024,0.14,0.3230183927447119,0.9535352736475798,0.4825640153296577,0.9350321487755864,48226,101072,2350,1109792,4.646472635242012,8.34709760964072,11.835521308980212,4.0093860984271945,1261440
fold_2024,0.15,0.32964374323194384,0.9509846567541917,0.489581742856852,0.9351042253366223,48097,97809,2479,1113055,4.901534324580829,8.077620608094715,11.56662227295789,4.0093860984271945,1261440
fold_2024,0.16,0.33587048616703197,0.948394495412844,0.4960622999477731,0.9350330641152012,47966,94845,2610,1116019,5.160550458715597,7.832836718244163,11.321267757483511,4.0093860984271945,1261440
fold_2024,0.17,0.34173767585496967,0.9452111673521038,0.501984627016129,0.9345819080196611,47805,92083,2771,1118781,5.478883264789623,7.6047351312781615,11.08954845256215,4.0093860984271945,1261440
fold_2024,0.18,0.34730303162868015,0.9418301170515659,0.5074734991743461,0.9339497180746671,47634,89520,2942,1121344,5.816988294843404,7.393068090223179,10.87281202435312,4.0093860984271945,1261440
fold_2024,0.19,0.35271441622781935,0.9389236001265422,0.5127936547360009,0.9334767513707672,47487,87146,3089,1123718,6.1076399873457765,7.197009738500773,10.672961060375444,4.0093860984271945,1261440
fold_2024,0.2,0.35846828226850486,0.9361950332173363,0.5184301144731007,0.9331067992366099,47349,84738,3227,1126126,6.380496678266372,6.99814347441166,10.471128234398783,4.0093860984271945,1261440
fold_2024,0.21,0.3639166120766059,0.9336444163239481,0.5237036338732663,0.932741171811071,47220,82535,3356,1128329,6.635558367605188,6.816207270180631,10.286260147133435,4.0093860984271945,1261440
fold_2024,0.22,0.36912056615172173,0.9302238215754508,0.5285199934843541,0.9319083470514181,47047,80410,3529,1130454,6.97761784245492,6.6407127472614595,10.104087392186708,4.0093860984271945,1261440
fold_2024,0.23,0.3742343536627243,0.9265659601391965,0.5331376530885055,0.9309263322544844,46862,78359,3714,1132505,7.343403986080355,6.471329563022767,9.926829654997462,4.0093860984271945,1261440
fold_2024,0.24,0.37913560395653656,0.9230860487187599,0.5375041735266012,0.9299738307918117,46686,76452,3890,1134412,7.691395128124011,6.313838713513656,9.76170091324201,4.0093860984271945,1261440
fold_2024,0.25,0.38410934933513824,0.9201202151217969,0.5419701972293556,0.9292486374040518,46536,74617,4040,1136247,7.98797848782031,6.162294031369337,9.604341070522578,4.0093860984271945,1261440
fold_2024,0.26,0.38900212207376095,0.9169962037329958,0.5462694126584963,0.9284183406381519,46378,72845,4198,1138019,8.300379626700412,6.015952245669208,9.451341324200913,4.0093860984271945,1261440
fold_2024,0.27,0.39397503089181474,0.9140896868079722,0.5506279738686645,0.9276798610442827,46231,71114,4345,1139750,8.591031319202784,5.872996471940697,9.302463850837137,4.0093860984271945,1261440
fold_2024,0.28,0.3985486563394656,0.9110843087630497,0.5545239570860385,0.9268279470056346,46079,69538,4497,1141326,8.891569123695033,5.7428414751780545,9.165477549467276,4.0093860984271945,1261440
fold_2024,0.29,0.4032093734080489,0.9076834862385321,0.5583774250440917,0.9257845046515274,45907,67947,4669,1142917,9.23165137614679,5.611447693547747,9.025716641298832,4.0093860984271945,1261440
