threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.24,0.4986807021442062,0.5714444851127485,0.5325887858091022,0.7624915859922128,107727,108297,80790,2222610,42.855551488725155,4.646131312832301,8.574340801707057,7.4825436290199665,2519424
0.25,0.5029223241071723,0.5664528928425553,0.532800463018401,0.7605861179997662,106786,105545,81731,2225362,43.354710715744474,4.528065684302291,8.427759678402683,7.4825436290199665,2519424
0.26,0.50706289787179,0.5615302598704626,0.5329084483643942,0.7586902466387291,105858,102909,82659,2227998,43.84697401295374,4.414976659300436,8.286298773052888,7.4825436290199665,2519424
0.27,0.5112335467025205,0.556687195319255,0.5329930547619954,0.7568212889617687,104945,100333,83572,2230574,44.331280468074496,4.304461739571764,8.14781473860692,7.4825436290199665,2519424
0.28,0.5151540646744994,0.5521570998901956,0.5330141458106638,0.7550637690036016,104091,97967,84426,2232940,44.78429001098044,4.2029561882992335,8.020007747802673,7.4825436290199665,2519424
0.29,0.5191714744153996,0.5475209132332893,0.5329694729015202,0.7532547049929206,103217,95594,85300,2235313,45.24790867667107,4.101150324744831,7.891129083473047,7.4825436290199665,2519424
0.3,0.5229504009807427,0.5430703862251149,0.5328205221618217,0.7515017898064624,102378,93392,86139,2237515,45.6929613774885,4.006680661219002,7.770426891225932,7.4825436290199665,2519424
0.31,0.5270371965808417,0.538672904830864,0.5327915298166822,0.7497882679533321,101549,91130,86968,2239777,46.13270951691359,3.909636892419989,7.647740118376264,7.4825436290199665,2519424
0.32,0.5310506279724557,0.5342648143138284,0.5326528723474582,0.7480539969071702,100718,88940,87799,2241967,46.57351856861715,3.8156820499487965,7.527831758370167,7.4825436290199665,2519424
0.33,0.5347863339402378,0.5297453280075537,0.5322538953304002,0.7462374288785659,99866,86874,88651,2244033,47.02546719924463,3.7270470250421828,7.412011634405324,7.4825436290199665,2519424
0.34,0.5386455829735403,0.5254592424025419,0.5319707104095118,0.7445298388847736,99058,84844,89459,2246063,47.454075759745805,3.63995646329948,7.299366839404563,7.4825436290199665,2519424
0.35,0.5426289410933498,0.5214755167968936,0.5318419735720952,0.742963346978343,98307,82861,90210,2248046,47.852448320310636,3.5548822840207697,7.190849972057105,7.4825436290199665,2519424
0.36,0.5462464684515,0.5169082894380879,0.5311725795769523,0.7410905175987856,97446,80946,91071,2249961,48.30917105619122,3.4727254240516676,7.080666057003506,7.4825436290199665,2519424
0.37,0.5498919103424735,0.5127389041837076,0.5306659127030966,0.7393975179906649,96660,79120,91857,2251787,48.726109581629245,3.3943868202377874,6.976991566326271,7.4825436290199665,2519424
0.38,0.5533075502193489,0.5084687322628728,0.5299413694828297,0.7376346047509952,95855,77385,92662,2253522,49.153126773712714,3.319952276088235,6.87617487171671,7.4825436290199665,2519424
0.39,0.5570039252445954,0.5043311743768466,0.5293605080079175,0.7359455063357767,95075,75615,93442,2255292,49.566882562315335,3.2440161705293264,6.774961260986638,7.4825436290199665,2519424
0.4,0.5607322714327334,0.5002678803503132,0.528777200271372,0.7342860320432578,94309,73880,94208,2257027,49.97321196496868,3.1695816263797743,6.675692539247066,7.4825436290199665,2519424
0.41,0.564355838215861,0.49613032246428707,0.5280484637707343,0.7325780568560358,93529,72198,94988,2258709,50.3869677535713,3.097420875221534,6.577971790377483,7.4825436290199665,2519424
0.42,0.5681843236688348,0.4921147694902847,0.5274207990448984,0.7309332292125535,92772,70506,95745,2260401,50.788523050971534,3.0248311065177633,6.480767032464563,7.4825436290199665,2519424
0.43,0.5715608473828447,0.4878870340605887,0.5264197163429069,0.7291544242007649,91975,68944,96542,2261963,51.21129659394113,2.9578185659058898,6.387134519636234,7.4825436290199665,2519424
