threshold,min_precision,mean_precision,max_precision,min_recall,mean_recall,max_recall,worst_fold_f1,mean_f1,f1_range,worst_fold_balanced_accuracy,mean_balanced_accuracy,max_missed_peak_rate_pct,mean_missed_peak_rate_pct,mean_false_alarm_rate_pct
0.45,0.4726954905518432,0.5982887235070902,0.7238819564623372,0.34569127380546755,0.5952396577822023,0.8447880417589371,0.4679243431543311,0.5370608350657158,0.13827298382276937,0.6647258593584787,0.7837194460585342,65.43087261945324,40.47603422177977,2.7800765665133973
0.46,0.4770005947638339,0.6018409282597807,0.7266812617557276,0.3416968124053037,0.5910674824443476,0.8404381524833914,0.46482547102360416,0.5367073370137314,0.1437637319802545,0.6629344243287416,0.7819544888256328,65.83031875946963,40.89325175556525,2.7158504793081963
0.47,0.48118135776475274,0.6054773342772038,0.7297733107896549,0.3379343342443508,0.5869420959421691,0.8359498576399873,0.4619531555815417,0.5363702111797235,0.1488341111963637,0.6612616593872045,0.7802064196073716,66.20656657556492,41.30579040578309,2.6529256727425863
0.48,0.48557042717078747,0.6090282143489467,0.7324860015271061,0.3338166317483562,0.5825896667125203,0.8313627016766846,0.45862403824605963,0.5358462943601461,0.15444451222817285,0.659401014815201,0.7783440310409393,66.61833682516438,41.74103332874796,2.590160463064173
0.49,0.4896544456024075,0.6125653007249606,0.7354761558475138,0.32993816196779785,0.5783667399525797,0.8267953179373616,0.4555254176216833,0.5352898277665321,0.1595288202896975,0.6576617722466451,0.7765313887930909,67.00618380322022,42.16332600474203,2.5303962366397985
0.5,0.4935348666009665,0.6160120966830777,0.7384893267651889,0.32603794375856343,0.5739451028504934,0.8218522619424233,0.45236143451300287,0.5345406955942983,0.16435852216259078,0.6559094234065892,0.7746110491005271,67.39620562414366,42.605489714950664,2.472300464943909
0.51,0.49724435031647857,0.6191312321018961,0.7410181138873136,0.322072480263301,0.5695501597773323,0.8170278392913635,0.4489956795270219,0.5336137750707417,0.1692361910874397,0.6541048098204928,0.7726832927712484,67.79275197366991,43.04498402226678,2.4183574234835334
0.52,0.5012694072844449,0.6228077033542284,0.7443459994240119,0.3185274863891084,0.5652665903948073,0.8120056944005062,0.44613900593999084,0.5330073161680876,0.17373662045619348,0.6525269482679308,0.770828772785295,68.14725136108916,43.47334096051927,2.360904482421714
0.53,0.5054374752279033,0.6262829457112152,0.7471284161945272,0.3145185260364939,0.5606818349891423,0.8068451439417905,0.44268149584204886,0.5321044252696292,0.1788458588551608,0.6507041575446177,0.7688194579275922,68.54814739635061,43.93181650108578,2.304291913395763
0.54,0.5099396074484147,0.6298953076681162,0.7498510078878177,0.31012534344393616,0.5557467906716675,0.8013682378993989,0.43877922570785316,0.5310246008590935,0.1844907503024808,0.6486919341699277,0.7666462481272233,68.98746565560639,44.425320932833245,2.2454294417220977
0.55,0.5142298500977623,0.6335706167365027,0.752911383375243,0.3060583872815189,0.5508364540014048,0.7956145207212907,0.4352057068046636,0.5299519727639563,0.18949253191858545,0.646844163244605,0.7644775967376798,69.3941612718481,44.91635459985952,2.1881260526045154
0.56,0.5189587311484354,0.6373480544586718,0.7557373777689084,0.30199143111910165,0.5459557756671117,0.7899201202151218,0.43154012700583233,0.5289663099457387,0.1948523658798127,0.6449852320334719,0.7623268658672896,69.80085688808984,45.40442243328883,2.130204393253248
0.57,0.5231520591341077,0.6407406197067811,0.7583291802794544,0.2978374812419803,0.5407449032277601,0.78365232521354,0.42769547882030834,0.5275667110413598,0.19974246444210297,0.6430738757363383,0.7599912954833448,70.21625187580197,45.925509677223985,2.0762312261070575
