fold,horizon,threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
fold_2024,6,0.06,0.2853763740086267,0.973421926910299,0.4413600172154078,0.9358121070937835,2051,5136,56,45317,2.6578073089700998,10.179771272273205,13.673896499238966,4.00875190258752,52560
fold_2024,7,0.06,0.27039473684210524,0.9753203607024205,0.4234057896363449,0.932708046682251,2055,5545,52,44908,2.4679639297579494,10.990426733791846,14.45966514459665,4.00875190258752,52560
fold_2024,8,0.06,0.2641509433962264,0.9767441860465116,0.4158415841584158,0.931556839222689,2058,5733,49,44720,2.3255813953488373,11.363050760113373,14.823059360730594,4.00875190258752,52560
fold_2024,9,0.06,0.25884872150144855,0.9753203607024205,0.4091180569380848,0.9293484843172777,2055,5884,52,44569,2.4679639297579494,11.662339206786514,15.104642313546425,4.00875190258752,52560
fold_2024,10,0.06,0.2550136172319881,0.9776934029425723,0.40451644575355916,0.9292070368329098,2060,6018,47,44435,2.230659705742762,11.927932927675263,15.369101978691019,4.00875190258752,52560
fold_2024,11,0.06,0.2498179169701384,0.9767441860465116,0.39787336877718704,0.9271269738033878,2058,6180,49,44273,2.3255813953488373,12.249023843973598,15.673515981735159,4.00875190258752,52560
fold_2024,12,0.06,0.24309915886743277,0.9738965353583294,0.3890784982935154,0.9236319138449032,2052,6389,55,44064,2.6103464641670624,12.66327076685232,16.05974124809741,4.00875190258752,52560
fold_2024,13,0.06,0.24146082023401488,0.969625059326056,0.3866389099167297,0.9212087796382524,2043,6418,64,44035,3.0374940673943995,12.720750004955105,16.09779299847793,4.00875190258752,52560
fold_2024,14,0.06,0.2426314548455553,0.9767441860465116,0.388705260175654,0.9247088817176843,2058,6424,49,44029,2.3255813953488373,12.732642261114306,16.137747336377473,4.00875190258752,52560
fold_2024,15,0.06,0.24190319161465082,0.9748457522543901,0.38762030571806,0.9236308320465656,2054,6437,53,44016,2.5154247745609872,12.758408816125899,16.154870624048705,4.00875190258752,52560
fold_2024,16,0.06,0.2379785247432306,0.9677266255339345,0.38201405152224827,0.9191595290474659,2039,6529,68,43924,3.22733744660655,12.940756743900264,16.301369863013697,4.00875190258752,52560
fold_2024,17,0.06,0.2329390354868062,0.9715370018975332,0.37577981651376147,0.9189326966198996,2048,6744,60,43708,2.846299810246679,13.367160865773409,16.727549467275495,4.010654490106545,52560
fold_2024,18,0.06,0.230223922583549,0.9705882352941176,0.3721691678035471,0.9174970035584201,2046,6841,62,43611,2.941176470588235,13.559422817727743,16.90829528158295,4.010654490106545,52560
fold_2024,19,0.06,0.23232895333031264,0.9729601518026565,0.37509144111192394,0.919317228045941,2051,6777,57,43675,2.7039848197343455,13.43256957107746,16.796042617960428,4.010654490106545,52560
fold_2024,20,0.06,0.22907145245791996,0.9748576850094877,0.3709721093961549,0.9188884476740136,2055,6916,53,43536,2.5142314990512333,13.70807896614604,17.068112633181126,4.010654490106545,52560
fold_2024,21,0.06,0.22581356867071153,0.9710626185958254,0.3664190459142576,0.915980052657938,2047,7018,61,43434,2.8937381404174576,13.910251327994928,17.24695585996956,4.010654490106545,52560
fold_2024,22,0.06,0.2222945131207981,0.9724857685009488,0.36187113857016767,0.9151654244867387,2050,7172,58,43280,2.7514231499051234,14.215491952747167,17.54566210045662,4.010654490106545,52560
fold_2024,23,0.06,0.21845434251089615,0.9748576850094877,0.35692574902301344,0.9145675089599884,2055,7352,53,43100,2.5142314990512333,14.572266708951082,17.89764079147641,4.010654490106545,52560
fold_2024,24,0.06,0.21465750572558817,0.9781783681214421,0.3520573672528598,0.9143250518162114,2062,7544,46,42908,2.1821631878557874,14.952826448901927,18.276255707762555,4.010654490106545,52560
