fold,fsa,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2024,M9W,0.6319461345015007,0.7010439164866811,0.6647041256026281,0.8263910332156833,210240,10.570776255707765,0.7075368222709738,0.9566282666176597,random_forest,Random Forest Classifier,Bagging,11.72659817351598,0.0519905608136374
fold_2023,L4T,0.3719876789273419,0.5153112449799196,0.4320740818688835,0.7492299126494308,209664,1.90018315018315,0.426744979497383,0.9407233507884124,xgboost,XGBoost Classifier,Gradient Boosting,2.632306929181929,0.0199022843959674
fold_2023,M5R,0.4923339011925042,0.560077519379845,0.5240253853127833,0.7742392890375793,209664,1.9688644688644688,0.5336010538817951,0.971103579894942,xgboost,XGBoost Classifier,Gradient Boosting,2.239774114774115,0.0147777952271939
fold_2023,M5S,0.3887785501489573,0.7092391304347826,0.5022450288646568,0.8456712632867097,209664,1.5796703296703296,0.591460606990457,0.9772886304285084,xgboost,XGBoost Classifier,Gradient Boosting,2.8817536630036638,0.0159957066923944
fold_2023,M6G,0.7136746597537265,0.4710814510609172,0.5675411018914601,0.7299617664647132,209664,5.5746336996337,0.6417540300377151,0.9457813591167528,xgboost,XGBoost Classifier,Gradient Boosting,3.67969703907204,0.0314224429811279
fold_2023,M9R,0.5063698538286174,0.5353750177229548,0.5204686423156444,0.7586035993007921,209664,3.3639537545787546,0.5416075344097834,0.9487485730585729,xgboost,XGBoost Classifier,Gradient Boosting,3.5566430097680097,0.0249364524643969
fold_2023,M9W,0.9832716908146992,0.2688724762470308,0.4222751681275364,0.6320169149451235,209664,51.4041514041514,0.914291695616944,0.9106178956211712,xgboost,XGBoost Classifier,Gradient Boosting,14.0562996031746,0.3241305571714456
fold_2024,L4T,0.5209996888934979,0.854421768707483,0.6472975584616376,0.9159097491022246,210240,2.796803652968036,0.7338521554650509,0.9882223422252048,xgboost,XGBoost Classifier,Gradient Boosting,4.586662861491629,0.0187467910070803
fold_2024,M5R,0.3541323287026136,0.8526077097505669,0.5004159041756779,0.913034184996418,210240,1.678082191780822,0.6008001229697456,0.9871508730222356,xgboost,XGBoost Classifier,Gradient Boosting,4.040144596651446,0.0204481699712016
fold_2024,M5S,0.3901495162708883,0.7766106442577031,0.5193771221168482,0.8799464323398611,210240,1.3584474885844748,0.5336844451239724,0.9876666590960343,xgboost,XGBoost Classifier,Gradient Boosting,2.704052511415525,0.0141310879531214
fold_2024,M6G,0.4512799339388935,0.8565830721003135,0.591130340724716,0.9086108110175776,210240,3.641552511415525,0.6752411833316742,0.9787701162475074,xgboost,XGBoost Classifier,Gradient Boosting,6.912100456621005,0.0313692021500014
fold_2024,M9R,0.5158050451572719,0.7856973434535104,0.6227674374882497,0.8774404619431986,210240,4.010654490106545,0.6641975459593098,0.9781723057525812,xgboost,XGBoost Classifier,Gradient Boosting,6.109208523592085,0.0272593906077907
fold_2024,M9W,0.5491021409320777,0.8159197264218863,0.6564338335113219,0.8683621693976507,210240,10.570776255707765,0.7011646858607965,0.954300571283312,xgboost,XGBoost Classifier,Gradient Boosting,15.707286910197867,0.0641595588816173
fold_2023,L4T,0.3311111111111111,0.5235943775100401,0.4056787242318164,0.7515531202991663,209664,1.90018315018315,0.4039334252184481,0.9383607504697904,lightgbm,LightGBM Classifier,Gradient Boosting,3.0048076923076925,0.0220382802735968
fold_2023,M5R,0.4714698447092813,0.6325096899224806,0.5402441547692944,0.809134437830616,209664,1.9688644688644688,0.5637835985452913,0.9717838936738822,lightgbm,LightGBM Classifier,Gradient Boosting,2.6413690476190474,0.0154968183019222
fold_2023,M5S,0.3635302698760029,0.7524154589371981,0.4902134356250615,0.86563598797833,209664,1.5796703296703296,0.6016333299880826,0.981756412123892,lightgbm,LightGBM Classifier,Gradient Boosting,3.2695169413919416,0.0176997357563606
fold_2023,M6G,0.7287424218871444,0.4010951403148528,0.5174107389216931,0.6961404703069395,209664,5.5746336996337,0.6162667314158743,0.9434178666510288,lightgbm,LightGBM Classifier,Gradient Boosting,3.0682425213675213,0.0331967297160149
fold_2023,M9R,0.4994162667012582,0.5458670069473983,0.5216095380029806,0.7634103285226846,209664,3.3639537545787546,0.5344284715607577,0.9477918097400916,lightgbm,LightGBM Classifier,Gradient Boosting,3.6768353174603177,0.0252508123137068
fold_2023,M9W,0.9789300907781464,0.2711549881235154,0.4246779385158651,0.6324907713858783,209664,51.4041514041514,0.9079054432765284,0.9061445164878834,lightgbm,LightGBM Classifier,Gradient Boosting,14.23849587912088,0.325402260511734
fold_2024,L4T,0.4387224560534786,0.9040816326530612,0.5907651275212535,0.935401062950136,210240,2.796803652968036,0.7101678781107043,0.987819800458841,lightgbm,LightGBM Classifier,Gradient Boosting,5.763413242009133,0.0243186358889103
fold_2024,M5R,0.3206259189245957,0.8653628117913832,0.4678927203065134,0.917034031771306,210240,1.678082191780822,0.5840094790402665,0.9861996162197996,lightgbm,LightGBM Classifier,Gradient Boosting,4.529109589041096,0.0229999011541933
fold_2024,M5S,0.358141702921069,0.8070728291316527,0.4961256995264744,0.8935766298186906,210240,1.3584474885844748,0.5207204826579015,0.9867532152022942,lightgbm,LightGBM Classifier,Gradient Boosting,3.0612633181126334,0.0158251935129372
fold_2024,M6G,0.4060878804925308,0.8486154649947754,0.5493130416402452,0.9008557323394284,210240,3.641552511415525,0.6381099339562851,0.9756472953170224,lightgbm,LightGBM Classifier,Gradient Boosting,7.609874429223744,0.0360155387885843
fold_2024,M9R,0.4821365654287929,0.8114326375711575,0.6048711488308359,0.8875084182068108,210240,4.010654490106545,0.6667906220218385,0.9767515500012712,lightgbm,LightGBM Classifier,Gradient Boosting,6.749904870624049,0.0298405307357386
fold_2024,M9W,0.5088154056635432,0.8869240460763139,0.6466545281564228,0.8928599466191288,210240,10.570776255707765,0.7058749149397857,0.9567711960500398,lightgbm,LightGBM Classifier,Gradient Boosting,18.426084474885844,0.072412109499228
