fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2024,17,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5389335450136983,0.9545225487964514,logistic_regression,Logistic Regression,Baseline,,
fold_2024,18,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5389078875256278,0.9545060659230686,logistic_regression,Logistic Regression,Baseline,,
fold_2024,19,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5388765453712007,0.9544909182282488,logistic_regression,Logistic Regression,Baseline,,
fold_2024,20,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5388487863373966,0.9544935509747104,logistic_regression,Logistic Regression,Baseline,,
fold_2024,21,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5388297772253483,0.954493456948051,logistic_regression,Logistic Regression,Baseline,,
fold_2024,22,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5388292839486417,0.9544933723240576,logistic_regression,Logistic Regression,Baseline,,
fold_2024,23,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5388303964026396,0.9544937578333612,logistic_regression,Logistic Regression,Baseline,,
fold_2024,24,0.7001254705144291,0.2647058823529412,0.3841652323580034,0.6299843532116723,52560,4.010654490106545,0.5388351111544045,0.9544947169052864,logistic_regression,Logistic Regression,Baseline,,
fold_2023,1,0.9593432369038312,0.2136514017064252,0.3494730845912845,0.6062686335980544,52416,10.956578144078144,0.7400160768313786,0.9335436295363,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,2,0.9506920415224912,0.1913633989204248,0.3185968981011741,0.5950710680459044,52416,10.956578144078144,0.7414221226681539,0.9394885647450072,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,3,0.9532442748091604,0.1739508967438621,0.2942129288764541,0.5864505196122627,52416,10.956578144078144,0.7072124784628155,0.9280355476793412,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,4,0.9400749063670412,0.1748215218526902,0.2948172074585229,0.5867251396892273,52416,10.956578144078144,0.7167696787268186,0.9306609376265133,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,5,0.9353574926542604,0.1662893957861744,0.2823772915434654,0.5824376509923095,52416,10.956578144078144,0.7143692142722384,0.927486704849664,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,6,0.9348441926345608,0.1723837715479714,0.2910908556306968,0.585452700377718,52416,10.956578144078144,0.7090501452123628,0.9223954441137342,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
