fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,15,0.6707267559886317,0.2874543239951279,0.4024360535931791,0.6350383107258418,52416,10.964209401709402,4.698946886446887,0.07796285049588475,0.5381163591754518,0.8938550698555703
fold_2023,16,0.6665453221696396,0.31854558107167713,0.4310771041789288,0.6494587852217046,52416,10.966117216117215,5.2407661782661785,0.0763172078747099,0.5386276789620014,0.8927419923403321
fold_2023,17,0.6801768607221813,0.32104347826086954,0.43620037807183365,0.6512216062713939,52416,10.969932844932845,5.1778083028083035,0.07576949674442736,0.5393296975489689,0.889930637518424
fold_2023,18,0.6458476321207962,0.3271905424200278,0.43434110316178165,0.6525374964800293,52416,10.973748473748474,5.559371184371184,0.07724141346253477,0.5167323572589977,0.8794163504902445
fold_2023,19,0.6660162601626016,0.3559263121306917,0.4639256993997055,0.6669584841695848,52416,10.977564102564102,5.866529304029304,0.07366639039484194,0.5541638115517704,0.8905434283186996
fold_2023,20,0.6571702944942381,0.3567332754126846,0.46243946390359275,0.6668902441442669,52416,10.979471916971917,5.96001221001221,0.07387999356907711,0.5585589688515155,0.8919638777286553
fold_2023,21,0.6587327114827919,0.3558026407227241,0.4620417371686407,0.6665318390068828,52416,10.98137973137973,5.931394993894994,0.07481435422246425,0.5536894668022817,0.8903743520989448
fold_2023,22,0.6562599553998089,0.3578252562098315,0.4631294964028777,0.6673500142469249,52416,10.983287545787546,5.988629426129426,0.07416045852249693,0.5526530909375794,0.8918936574494114
fold_2023,23,0.657313997477932,0.36216779572694113,0.4670175831560085,0.6694355556358189,52416,10.983287545787546,6.051587301587301,0.07423150938111103,0.557537009839457,0.8939602275089762
fold_2023,24,0.6413286489939316,0.3487927740142435,0.45184518451845185,0.6623622671159968,52416,10.983287545787546,5.973366910866911,0.07604436615757396,0.5428375973096983,0.8881105078295394
fold_2024,1,0.6216922574322117,0.9031798766018035,0.7364551083591331,0.940113911107276,52560,4.00875190258752,5.8238203957382035,0.018655014916149557,0.8440347744175741,0.9916562634510453
fold_2024,2,0.604360371914075,0.8946369245372567,0.7213930348258707,0.9350892588515868,52560,4.00875190258752,5.934170471841705,0.020016728641240163,0.8345895520257298,0.9900319949854225
fold_2024,3,0.5742419506095655,0.8718557190317988,0.6924236713154919,0.92243014877521,52560,4.00875190258752,6.086377473363775,0.021841895232550285,0.8093819156220486,0.98815209286917
fold_2024,4,0.5560578661844484,0.8756525866160417,0.680184331797235,0.9232285488726057,52560,4.00875190258752,6.312785388127853,0.023323783923902545,0.7943732297331538,0.9870519321807264
fold_2024,5,0.5376060872110038,0.8718557190317988,0.665097755249819,0.9202697222396226,52560,4.00875190258752,6.501141552511415,0.02504065839198904,0.7653078687915762,0.985636822368459
fold_2024,6,0.505831299159208,0.8851447555766493,0.6437694166379013,0.9245159688532762,52560,4.00875190258752,7.014840182648402,0.028105552745738848,0.7408896502288873,0.9841007627985843
fold_2024,7,0.4764629388816645,0.8694826767916469,0.6155913978494624,0.9147920786887693,52560,4.00875190258752,7.31544901065449,0.030594398121963434,0.6981855368137099,0.9805169389347697
fold_2024,8,0.4643218623481781,0.8709065021357381,0.6057105132860208,0.9144733291603511,52560,4.00875190258752,7.519025875190259,0.03206139107975741,0.6937847508187226,0.9805558554540947
fold_2024,9,0.4549281822684497,0.8718557190317988,0.5978844589096827,0.9141154796772377,52560,4.00875190258752,7.682648401826484,0.03383930218829894,0.6570224119454353,0.9787583252260388
fold_2024,10,0.44951801116184675,0.8410061699098244,0.5858819639609852,0.8989979217336964,52560,4.00875190258752,7.5,0.0338555847988713,0.6310288228335471,0.976331296545373
