fold,horizon,target,mae,rmse,mape,wape,bias,n_observations
fold_2023,22,target_h22,603.7575377747253,980.3638411244274,6.50916002919365,6.689285726938008,-2.6687748015873005,52416
fold_2023,23,target_h23,603.7548954517704,980.3651851149734,6.508982063728527,6.689208219529302,-2.594284188034187,52416
fold_2023,24,target_h24,603.7594627594627,980.3667522754478,6.5089254395044165,6.689199733240008,-2.555872252747249,52416
fold_2024,1,target_h01,620.4153443683409,1008.0732500773439,6.66997150615846,6.7629237788261864,1.0232971841704717,52560
fold_2024,2,target_h02,620.4459836377473,1008.0852004533631,6.6704390490651075,6.763295865722396,0.9904280821917791,52560
fold_2024,3,target_h03,620.448203957382,1008.0850681028678,6.670529194080121,6.763370651228814,0.9882077625570773,52560
fold_2024,4,target_h04,620.4457838660578,1008.0832475631681,6.6705480321774,6.763392470150411,0.9906278538812784,52560
fold_2024,5,target_h05,620.4393302891933,1008.0799242626023,6.670491097217264,6.763358161835667,0.9970814307458137,52560
fold_2024,6,target_h06,620.429941019787,1008.0760224475513,6.6703867474223415,6.76327649299545,1.0064707001522062,52560
fold_2024,7,target_h07,620.4265962709285,1008.0745626192728,6.670342637027335,6.763241559588734,1.0098154490106557,52560
fold_2024,8,target_h08,620.4359798325722,1008.0775345123361,6.670462679636184,6.7633158582222475,0.9919006849315085,52560
fold_2024,9,target_h09,620.4301179604262,1008.0765124435044,6.670422528174013,6.763204385058877,0.958070776255706,52560
fold_2024,10,target_h10,620.4024847792999,1008.0643092258587,6.6701021160638865,6.762862270306994,0.9245015220700178,52560
fold_2024,11,target_h11,620.3654299847793,1008.0430494681515,6.669809808239717,6.762426840208557,0.886308980213092,52560
fold_2024,12,target_h12,620.3206335616438,1008.016486412204,6.669439521195494,6.761921514729832,0.8339630898021314,52560
fold_2024,13,target_h13,620.2772317351598,1007.9827933830411,6.669076793311116,6.761442132528961,0.7663565449010655,52560
fold_2024,14,target_h14,620.2271955859969,1007.9472138029679,6.668664422906787,6.76091452068957,0.7053120243531193,52560
fold_2024,15,target_h15,620.1837176560123,1007.9143825472787,6.668376621334296,6.760464643207817,0.6330898021308967,52560
fold_2024,16,target_h16,620.1535939878235,1007.8869691866258,6.668302881739664,6.760150957637758,0.5146898782343986,52560
fold_2024,17,target_h17,620.1358789954338,1007.868759488049,6.668313228668582,6.759964582976943,0.38415905631659053,52560
