task,horizon,feature,feature_family,importance,importance_pct
xgb,7,origin__Temp (°C),weather,0.046336546540260315,4.633654594421387
xgb,7,target_is_weekend,calendar_time,0.023675981909036636,2.367598295211792
xgb,7,target_hour_cos,calendar_time,0.023262621834874153,2.3262622356414795
xgb,7,target_month_sin,calendar_time,0.02324039302766323,2.3240392208099365
xgb,7,target_weekday_cos,calendar_time,0.017477938905358315,1.7477939128875732
xgb,7,origin__reported_premise_count,context,0.016145065426826477,1.614506483078003
xgb,7,target_month,calendar_time,0.014616389758884907,1.4616389274597168
xgb,7,target_weekday,calendar_time,0.01388161163777113,1.3881611824035645
xgb,7,origin_rolling_mean_24h,demand_history,0.013262765482068062,1.3262765407562256
xgb,7,origin_rolling_std_24h,demand_history,0.012807340361177921,1.2807340621948242
xgb,7,origin_rolling_mean_168h,demand_history,0.011667483486235142,1.1667484045028687
xgb,7,origin__Rel Hum (%),weather,0.007512382697314024,0.7512382864952087
xgb,7,target_weekday_sin,calendar_time,0.006781901232898235,0.6781901121139526
xgb,7,target_lag_48h,demand_history,0.006701197940856218,0.6701198220252991
xgb,7,origin__Stn Press (kPa),weather,0.006230564787983894,0.6230564713478088
xgb,7,target_lag_168h,demand_history,0.006032655481249094,0.6032655239105225
xgb,8,fsa,spatial,0.2368377447128296,23.68377685546875
xgb,8,target_hour,calendar_time,0.15364086627960205,15.36408805847168
xgb,8,target_hour_sin,calendar_time,0.1318853199481964,13.188533782958984
xgb,8,target_season,calendar_time,0.13041236996650696,13.041238784790039
xgb,8,target_lag_24h,demand_history,0.06327179074287415,6.327179908752441
xgb,8,target_month_cos,calendar_time,0.04191368818283081,4.19136905670166
xgb,8,origin__Temp (°C),weather,0.040048062801361084,4.0048065185546875
xgb,8,target_hour_cos,calendar_time,0.022778751328587532,2.2778754234313965
xgb,8,target_month_sin,calendar_time,0.02195899561047554,2.195899724960327
xgb,8,target_is_weekend,calendar_time,0.01996692642569542,1.9966927766799927
xgb,8,target_weekday_cos,calendar_time,0.018104413524270058,1.810441493988037
xgb,8,origin__reported_premise_count,context,0.017636269330978394,1.7636271715164185
xgb,8,target_month,calendar_time,0.014587169513106346,1.4587169885635376
xgb,8,target_weekday,calendar_time,0.014181352220475674,1.4181352853775024
xgb,8,origin_rolling_mean_168h,demand_history,0.0139094777405262,1.3909478187561035
xgb,8,origin_rolling_std_24h,demand_history,0.013519076630473137,1.351907730102539
xgb,8,origin_rolling_mean_24h,demand_history,0.013209107331931591,1.3209108114242554
xgb,8,origin__Stn Press (kPa),weather,0.006733054760843515,0.6733055114746094
xgb,8,origin__Rel Hum (%),weather,0.006505065597593784,0.6505066156387329
xgb,8,target_weekday_sin,calendar_time,0.006417130585759878,0.6417130827903748
xgb,8,target_lag_48h,demand_history,0.006330575328320265,0.6330575942993164
xgb,8,target_lag_168h,demand_history,0.006152774672955275,0.6152775287628174
xgb,9,fsa,spatial,0.2437792718410492,24.377927780151367
xgb,9,target_hour,calendar_time,0.15934129059314728,15.934128761291504
xgb,9,target_hour_sin,calendar_time,0.12682534754276276,12.682535171508789
xgb,9,target_season,calendar_time,0.12256499379873276,12.256499290466309
xgb,9,target_lag_24h,demand_history,0.06045597419142723,6.045597553253174
xgb,9,target_month_cos,calendar_time,0.0454956591129303,4.54956579208374
xgb,9,origin__Temp (°C),weather,0.04139528051018715,4.139528274536133
xgb,9,target_is_weekend,calendar_time,0.023766132071614265,2.376613140106201
xgb,9,target_month_sin,calendar_time,0.02318257838487625,2.3182578086853027
