task,horizon,feature,feature_family,mean_abs_shap,mean_shap
rf,6,target_month,calendar_time,7.7455240259593685,0.6671995712700155
rf,6,target_month_sin,calendar_time,6.9466772068073,-0.8834517484112412
rf,6,target_is_weekend,calendar_time,6.614932934164463,-0.5321678037300189
rf,6,target_season,calendar_time,4.894608867946055,1.6532923584698045
rf,12,target_lag_24h,demand_history,2858.2183428397225,777.3731151785797
rf,12,target_lag_48h,demand_history,488.81353446225535,149.57136937168818
rf,12,target_lag_168h,demand_history,456.3280031615034,16.449236401035744
rf,12,origin__Temp (°C),weather,167.36717744802738,-1.3043757268354697
rf,12,origin_rolling_mean_24h,demand_history,58.24493465846574,7.677585844428068
rf,12,origin__reported_premise_count,context,57.93620084646181,-2.769629016664413
rf,12,target_hour,calendar_time,40.09558826790024,-1.6531838317850664
rf,12,origin__Stn Press (kPa),weather,32.14856659136414,7.811720062654254
rf,12,target_weekday_sin,calendar_time,31.827364122699755,4.260501050328615
rf,12,fsa,spatial,28.85831958814513,-5.360658426320864
rf,12,origin_rolling_std_24h,demand_history,27.5998837607806,-0.3915686947134721
rf,12,target_weekday,calendar_time,26.64440111078546,2.635461857180592
rf,12,target_hour_sin,calendar_time,25.465399734164656,-3.6806299995403395
rf,12,target_hour_cos,calendar_time,23.08921568971272,0.39668313210430123
rf,12,origin_rolling_mean_168h,demand_history,20.554860254912764,-2.0347832569042077
rf,12,origin__Rel Hum (%),weather,16.631791291642738,0.5280747423569097
rf,12,target_weekday_cos,calendar_time,14.850930959995187,-0.6738454212319271
rf,12,target_is_weekend,calendar_time,9.992125537515905,1.1058080292405543
rf,12,target_month_cos,calendar_time,9.267451542662263,1.8762570486546364
rf,12,target_month_sin,calendar_time,7.649372555298811,0.177245490084084
rf,12,target_season,calendar_time,7.050136375113025,0.8966563317017052
rf,12,target_month,calendar_time,6.795402634710107,0.9713331268856071
rf,18,target_lag_24h,demand_history,2839.964589275799,896.8247492339126
rf,18,target_lag_48h,demand_history,489.08436100592013,174.49846290627102
rf,18,target_lag_168h,demand_history,428.1714350694286,-2.8018541893830844
rf,18,origin__Temp (°C),weather,72.83457450150627,-17.262384762858982
rf,18,origin__reported_premise_count,context,62.871642177861276,-8.074890411889475
rf,18,origin_rolling_std_24h,demand_history,52.18263517325704,-20.587234132258853
rf,18,origin__Stn Press (kPa),weather,50.78703575655139,12.098471665183428
rf,18,origin_rolling_mean_24h,demand_history,37.31148137423791,16.714350875118388
rf,18,target_weekday_sin,calendar_time,31.08926756625883,3.990332390284301
rf,18,origin_rolling_mean_168h,demand_history,28.582470327084355,-2.582690099528759
rf,18,target_weekday,calendar_time,26.990023343619335,3.8254738216165753
rf,18,fsa,spatial,25.517432582985723,-6.668282578001857
rf,18,target_hour,calendar_time,23.275870619431146,-2.093001737437796
rf,18,target_hour_sin,calendar_time,23.119368406574733,0.37445557631669607
rf,18,target_weekday_cos,calendar_time,19.579343553957845,0.4933338337121436
rf,18,target_month_cos,calendar_time,17.096433310963796,0.4689349790997852
rf,18,target_season,calendar_time,14.172265342770528,0.3219952952325426
rf,18,origin__Rel Hum (%),weather,13.206493172471154,1.1219547623607924
rf,18,target_hour_cos,calendar_time,11.892004812164664,-2.860508580737168
rf,18,target_is_weekend,calendar_time,11.085914500291418,1.4325773013868257
rf,18,target_month_sin,calendar_time,10.249771104804458,-0.30082616857296063
rf,18,target_month,calendar_time,7.373381592030468,0.05316375392618759
rf,24,target_lag_24h,demand_history,2849.783858253721,782.0783285031852
rf,24,target_lag_48h,demand_history,469.38131905919596,143.94958707362306
rf,24,target_lag_168h,demand_history,399.25089570211543,-3.6371328752336014
rf,24,origin__Stn Press (kPa),weather,53.02464614904602,7.227210335853406
rf,24,origin__reported_premise_count,context,41.05888262054816,-1.8131870608674092
rf,24,origin__Temp (°C),weather,33.16964729380518,-1.2518869464844353
rf,24,origin_rolling_mean_24h,demand_history,30.303649833938426,19.23684088973275
rf,24,target_weekday_sin,calendar_time,29.140448580556,0.6124355078201492
rf,24,origin_rolling_mean_168h,demand_history,27.176952228180106,1.8979401136300316
rf,24,target_weekday,calendar_time,25.795642306676804,3.7200534952858755
rf,24,target_month_cos,calendar_time,25.64488299621194,-5.586422546920022
rf,24,origin_rolling_std_24h,demand_history,23.022277534547317,-7.652333835178394
rf,24,target_season,calendar_time,22.212749499758022,-1.9995944775004302
rf,24,fsa,spatial,21.128294022826783,-3.523296089429353
rf,24,target_weekday_cos,calendar_time,20.223041436346932,2.5821142586320054
rf,24,target_hour,calendar_time,16.51638053397777,-1.7696677334683173
rf,24,target_hour_sin,calendar_time,13.99291929733303,-2.0953321149021806
rf,24,origin__Rel Hum (%),weather,11.154413934706326,0.6527512011800884
rf,24,target_is_weekend,calendar_time,10.853022341266996,1.1392930938436971
rf,24,target_hour_cos,calendar_time,10.509124849659583,-1.295904587892681
rf,24,target_month_sin,calendar_time,10.38143146844393,-1.0226086180775975
rf,24,target_month,calendar_time,7.736878555734989,-1.3308689187146239
xgb,1,origin__Temp (°C),weather,2.2168635252552726,-1.8148747420869769
xgb,1,target_hour,calendar_time,1.5464110005258893,-1.2189491330568367
xgb,1,target_lag_24h,demand_history,1.1073200700047892,-0.791021448080816
xgb,1,origin_rolling_mean_24h,demand_history,1.062055244211418,-0.6222089780572181
xgb,1,target_hour_sin,calendar_time,1.0385498613119126,-0.6869482091938456
xgb,1,fsa,spatial,0.9568752178190455,-0.2606600499341463
xgb,1,target_month_cos,calendar_time,0.9332147593609988,-0.08906676076973478
xgb,1,origin__reported_premise_count,context,0.6189283816565876,-0.06601380191617258
xgb,1,origin_rolling_std_24h,demand_history,0.296531089922064,-0.20058595840528143
xgb,1,target_weekday,calendar_time,0.2883806834366017,-0.13955914486238422
xgb,1,target_month_sin,calendar_time,0.28150555142007455,-0.09731728312132569
xgb,1,target_season,calendar_time,0.2632494161160139,-0.03137663271021059
xgb,1,origin__Rel Hum (%),weather,0.2568400625010933,-0.044939002494356825
xgb,1,target_hour_cos,calendar_time,0.2481315393293092,-0.22575405439529278
xgb,1,target_weekday_cos,calendar_time,0.23578084586867287,-0.10306233432978236
xgb,1,origin_rolling_mean_168h,demand_history,0.21990104843183264,-0.16644037757165886
xgb,1,target_lag_168h,demand_history,0.21644371569370074,-0.19451869960466867
xgb,1,target_month,calendar_time,0.20249847492135206,-0.08427689193680028
xgb,1,target_lag_48h,demand_history,0.17560809498633415,-0.13876611790328752
xgb,1,origin__Stn Press (kPa),weather,0.12804221608215205,-0.10558726015515277
xgb,1,target_weekday_sin,calendar_time,0.03466030396921269,-0.026446959490688943
xgb,1,target_is_weekend,calendar_time,0.027707386588250907,-0.009822298868675717
xgb,6,target_hour,calendar_time,1.7370726150770983,-1.472349534385527
xgb,6,origin__Temp (°C),weather,1.5787971790647135,-1.283146511724529
xgb,6,target_lag_24h,demand_history,1.4386819330897802,-1.1186579746737455
xgb,6,target_month_cos,calendar_time,0.8131508626354237,-0.04465488164375226
xgb,6,fsa,spatial,0.7488635240501026,-0.28158537817556256
xgb,6,target_hour_sin,calendar_time,0.689181330485735,-0.5388835598132573
xgb,6,origin_rolling_mean_24h,demand_history,0.5614007131788337,-0.38913988166702135
xgb,6,origin__reported_premise_count,context,0.53221721763742,-0.05856850072256445
xgb,6,target_hour_cos,calendar_time,0.41377432709717443,-0.34546362569708433
xgb,6,target_month_sin,calendar_time,0.3066215327470369,-0.10874780410231324
xgb,6,target_weekday,calendar_time,0.27005112255186153,-0.14361058851354755
xgb,6,origin_rolling_mean_168h,demand_history,0.2622792823797984,-0.19745812646724517
xgb,6,origin_rolling_std_24h,demand_history,0.24088388675396952,-0.11450823258880215
xgb,6,target_weekday_cos,calendar_time,0.22053887384778742,-0.0821237847339944
xgb,6,target_lag_168h,demand_history,0.19436391456595933,-0.17958554548289005
xgb,6,target_month,calendar_time,0.18582312268178308,-0.08522043834709621
xgb,6,origin__Rel Hum (%),weather,0.1794715629609224,-0.15156099747109691
xgb,6,target_season,calendar_time,0.17123755082047865,-0.004269480614493659
xgb,6,origin__Stn Press (kPa),weather,0.15653118722354217,-0.12341404785790171
xgb,6,target_lag_48h,demand_history,0.15435281047781851,-0.12759021904251616
xgb,6,target_weekday_sin,calendar_time,0.043615068974440875,-0.03706878219980657
xgb,6,target_is_weekend,calendar_time,0.03311055521674765,-0.009856400054801876
xgb,12,target_lag_24h,demand_history,1.485215761215659,-1.0443373243615497
xgb,12,target_hour,calendar_time,1.459967883268837,-1.1642823403545965
xgb,12,origin__Temp (°C),weather,1.3380159136063108,-0.994400763620312
xgb,12,target_hour_sin,calendar_time,0.9570117628027219,-0.7131402506357214
xgb,12,fsa,spatial,0.6965131473344021,-0.26028649972719603
xgb,12,target_month_cos,calendar_time,0.6392754544232351,-0.010576453145282964
xgb,12,origin__reported_premise_count,context,0.4983527916177991,-0.05552045485577158
xgb,12,origin_rolling_mean_24h,demand_history,0.37690691671693155,-0.31997078897984466
xgb,12,target_weekday,calendar_time,0.3084408990379112,-0.13856520725336546
xgb,12,target_hour_cos,calendar_time,0.30018412141847267,-0.21631856299257682
xgb,12,target_month_sin,calendar_time,0.2902685869225631,-0.11352525853508269
xgb,12,origin_rolling_std_24h,demand_history,0.2736393282170563,-0.18772062985032487
xgb,12,origin_rolling_mean_168h,demand_history,0.2698797197333382,-0.19156890953308903
xgb,12,target_lag_168h,demand_history,0.22826959065860136,-0.19878529672278092
xgb,12,target_season,calendar_time,0.21869781803446434,-0.018821037547604648
xgb,12,target_weekday_cos,calendar_time,0.2184570677080046,-0.09469189004897392
xgb,12,target_month,calendar_time,0.21285761127801378,-0.10565932706376771
xgb,12,origin__Stn Press (kPa),weather,0.19753680293409465,-0.11976427320817797
xgb,12,origin__Rel Hum (%),weather,0.19091334503609686,-0.1545118065783754
xgb,12,target_lag_48h,demand_history,0.12123309267844888,-0.11559706031766837
xgb,12,target_weekday_sin,calendar_time,0.05021306123065491,-0.04420247921007103
xgb,12,target_is_weekend,calendar_time,0.032269481525872834,-0.007502588787853408
xgb,18,target_lag_24h,demand_history,1.4652225431869739,-0.9193130945554003
xgb,18,target_hour,calendar_time,1.2464122903319852,-0.8712207083803757
xgb,18,origin__Temp (°C),weather,1.0988948550773785,-0.6866039340151474
xgb,18,target_hour_sin,calendar_time,0.9008563421666622,-0.606535050800691
xgb,18,fsa,spatial,0.7168577937680918,-0.1957013199600624
xgb,18,target_month_cos,calendar_time,0.5727147757599595,-0.1459822578142242
xgb,18,origin__reported_premise_count,context,0.45447974677663294,-0.0022552226747696597
xgb,18,origin_rolling_std_24h,demand_history,0.4082187263823774,-0.27485367046659426
xgb,18,target_month_sin,calendar_time,0.33244320035349423,-0.11069168863759841
xgb,18,origin_rolling_mean_168h,demand_history,0.3038320292835124,-0.24271736569935456
xgb,18,target_weekday,calendar_time,0.28240719784516843,-0.09694809756086518
xgb,18,origin__Stn Press (kPa),weather,0.24888699151245722,-0.1291493418762305
xgb,18,origin_rolling_mean_24h,demand_history,0.22778950104208587,-0.2216074004075684
xgb,18,target_lag_168h,demand_history,0.21643469358653722,-0.1713233371519891
xgb,18,target_weekday_cos,calendar_time,0.1924382247052563,-0.07669575151012395
xgb,18,origin__Rel Hum (%),weather,0.1916589762593503,-0.14842808083291553
xgb,18,target_month,calendar_time,0.17191471285041188,-0.07861465150150858
xgb,18,target_hour_cos,calendar_time,0.15450693861833617,-0.13461128310203396
xgb,18,target_lag_48h,demand_history,0.15203450824543932,-0.12557259217974207
xgb,18,target_season,calendar_time,0.13745444322739786,-0.014222001290060385
xgb,18,target_weekday_sin,calendar_time,0.055736194182160644,-0.04776663495267712
xgb,18,target_is_weekend,calendar_time,0.032869809627906456,-0.005694304424711542
xgb,24,target_lag_24h,demand_history,1.6539410090830642,-1.095021769371427
xgb,24,target_hour,calendar_time,1.3658817188814283,-1.0385638389891634
xgb,24,origin__Temp (°C),weather,1.0609513943146642,-0.7875999261174002
xgb,24,target_hour_sin,calendar_time,0.7941140688354305,-0.5017192664886049
xgb,24,fsa,spatial,0.6634031369722531,-0.19869648669719026
xgb,24,target_month_cos,calendar_time,0.4751971032198829,-0.06175492568484818
xgb,24,origin__reported_premise_count,context,0.45565211286302654,0.028496874938718976
xgb,24,target_month_sin,calendar_time,0.33866991207372243,-0.09042432989711718
xgb,24,origin_rolling_mean_168h,demand_history,0.31620776413498486,-0.2623401694399945
xgb,24,target_weekday,calendar_time,0.3079273690537472,-0.11710197710684346
xgb,24,origin_rolling_std_24h,demand_history,0.29328721270430835,-0.22544155099894853
xgb,24,target_lag_168h,demand_history,0.27834727203395837,-0.2523324571899138
xgb,24,origin_rolling_mean_24h,demand_history,0.25228078203072074,-0.2484662510381895
xgb,24,origin__Stn Press (kPa),weather,0.2190064336376963,-0.13298963317162513
xgb,24,target_weekday_cos,calendar_time,0.2051250977140929,-0.08699239403843724
xgb,24,origin__Rel Hum (%),weather,0.20214501037553417,-0.12665157521356984
xgb,24,target_month,calendar_time,0.18618803541661086,-0.07746439183344288
xgb,24,target_season,calendar_time,0.15627384697090746,0.0026979851866902513
xgb,24,target_hour_cos,calendar_time,0.14128888028256673,-0.12967083186037295
xgb,24,target_lag_48h,demand_history,0.10331178227788769,-0.09677842299764355
xgb,24,target_weekday_sin,calendar_time,0.07257250045028438,-0.05796618526849973
xgb,24,target_is_weekend,calendar_time,0.027730672296214228,-0.005814717940908546
