task,horizon,feature_family,importance_pct
rf,24,calendar_time,0.9623701494673034
rf,24,context,0.34424588433141595
rf,24,demand_history,97.60498622522228
rf,24,spatial,0.09583687987051476
rf,24,weather,0.9925608611085033
xgb,1,calendar_time,65.52145856618881
xgb,1,context,1.324752688407898
xgb,1,demand_history,7.9596869349479675
xgb,1,spatial,15.76876449584961
xgb,1,weather,9.425333887338638
xgb,2,calendar_time,65.56004789471626
xgb,2,context,1.3378021717071533
xgb,2,demand_history,8.061017155647278
xgb,2,spatial,15.199145317077637
xgb,2,weather,9.841982662677765
xgb,3,calendar_time,65.83203595876694
xgb,3,context,1.303091049194336
xgb,3,demand_history,8.56551218032837
xgb,3,spatial,15.412923812866211
xgb,3,weather,8.886440813541412
xgb,4,calendar_time,63.82262480258942
xgb,4,context,1.355239748954773
xgb,4,demand_history,9.659557044506073
xgb,4,spatial,17.148340225219727
xgb,4,weather,8.01424890756607
xgb,5,calendar_time,63.754633247852325
xgb,5,context,1.3102035522460938
xgb,5,demand_history,10.162301480770111
xgb,5,spatial,17.706533432006836
xgb,5,weather,7.066330075263977
xgb,6,calendar_time,64.25745493173599
xgb,6,context,1.3911421298980713
xgb,6,demand_history,10.535706102848053
xgb,6,spatial,17.200719833374023
xgb,6,weather,6.614972829818726
xgb,7,calendar_time,61.7018221616745
xgb,7,context,1.614506483078003
xgb,7,demand_history,10.484387814998627
xgb,7,spatial,20.19133949279785
xgb,7,weather,6.007949352264404
xgb,8,calendar_time,57.58470445871353
xgb,8,context,1.7636271715164185
xgb,8,demand_history,11.639281392097473
xgb,8,spatial,23.68377685546875
xgb,8,weather,5.32861864566803
xgb,9,calendar_time,57.21592253446579
xgb,9,context,1.604759693145752
xgb,9,demand_history,11.289220213890076
xgb,9,spatial,24.377927780151367
xgb,9,weather,5.512169301509857
xgb,10,calendar_time,58.7157763838768
xgb,10,context,1.6611416339874268
xgb,10,demand_history,11.037877023220062
xgb,10,spatial,23.273942947387695
xgb,10,weather,5.311252951622009
xgb,11,calendar_time,60.95919942855835
xgb,11,context,1.6469621658325195
xgb,11,demand_history,10.57682353258133
xgb,11,spatial,21.403955459594727
xgb,11,weather,5.413049697875977
xgb,12,calendar_time,63.129250168800354
xgb,12,context,1.5994287729263306
xgb,12,demand_history,10.493991613388062
xgb,12,spatial,19.257164001464844
xgb,12,weather,5.520160675048828
xgb,13,calendar_time,62.596560537815094
xgb,13,context,1.516506314277649
xgb,13,demand_history,9.938817322254181
xgb,13,spatial,20.664226531982422
xgb,13,weather,5.28388386964798
xgb,14,calendar_time,61.74369132518768
xgb,14,context,1.5557576417922974
xgb,14,demand_history,10.374424755573273
xgb,14,spatial,20.838773727416992
xgb,14,weather,5.487358331680298
xgb,15,calendar_time,61.04151141643524
xgb,15,context,1.5392744541168213
xgb,15,demand_history,10.256416201591492
xgb,15,spatial,21.4499568939209
xgb,15,weather,5.712840259075165
xgb,16,calendar_time,59.61152535676956
xgb,16,context,1.5232480764389038
xgb,16,demand_history,9.695308208465576
xgb,16,spatial,23.448429107666016
xgb,16,weather,5.721494793891907
xgb,17,calendar_time,61.65149986743927
xgb,17,context,1.7506967782974243
xgb,17,demand_history,9.632041990756989
xgb,17,spatial,21.437393188476562
xgb,17,weather,5.528378129005432
xgb,18,calendar_time,58.707649290561676
xgb,18,context,1.6870591640472412
xgb,18,demand_history,10.176530182361603
xgb,18,spatial,23.56952667236328
xgb,18,weather,5.859230160713196
xgb,19,calendar_time,59.173113107681274
xgb,19,context,1.5462791919708252
xgb,19,demand_history,9.849014520645142
xgb,19,spatial,23.730615615844727
